File;Rule;Hit-Type;Misuse;Misuse-Line;Parameter-Value;Parameter-Type;Parameter-Line
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticsalts/StaticSaltsABPSCase1.java;JRule 4;critical;StaticSaltsABPSCase1.key2.PBEParameterSpec;19;0xa2;Types.StringLiteral;15
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticsalts/StaticSaltsABICase3.java;JRule 4;critical;StaticSaltsABICase3.method2.PBEParameterSpec;18;0xa2;Types.StringLiteral;7
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticsalts/StaticSaltsBBCase1.java;JRule 4;critical;StaticSaltsBBCase1.key2.PBEParameterSpec;15;0xa2;Types.StringLiteral;13
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticsalts/StaticSaltsABICase1.java;JRule 4;critical;StaticSaltsABICase1.key2.PBEParameterSpec;16;0xa2;Types.StringLiteral;9
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticsalts/StaticSaltsABMC1.java;JRule 4;warning;StaticSaltsABMC1.key2.PBEParameterSpec;8;UNKNOWN;Types.Unknown;6
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticsalts/StaticSaltsABMC1.java;JRule 5;warning;StaticSaltsABMC1.key2.PBEParameterSpec;8;UNKNOWN;Types.Unknown;6
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/predictableseeds/PredictableSeedsABPSCase2.java;JRule 6;critical;PredictableSeedsABPSCase2.main.SecureRandom;14;100, 200;Types.StringLiteral;8
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/ecbcrypto/EcbInSymmCryptoABICase1.java;Rule 1;critical;EcbInSymmCryptoABICase1.go.Cipher.getInstance;14;AES/ECB/PKCS5Padding;Types.StringLiteral;20
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/ecbcrypto/EcbInSymmCryptoBBCase1.java;Rule 1;critical;Cipher.getInstance -> hard coded string;14;AES/ECB/PKCS5Padding;Types.StringLiteral;14
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/ecbcrypto/EcbInSymmCryptoABMC1.java;Rule 1;warning;EcbInSymmCryptoABMC1.go.Cipher.getInstance;15;UNKNOWN;Types.Unknown;12
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/ecbcrypto/EcbInSymmCryptoABICase3.java;Rule 1;critical;EcbInSymmCryptoABICase3.method1.Cipher.getInstance;18;AES/ECB/PKCS5Padding;Types.StringLiteral;23
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/ecbcrypto/EcbInSymmCryptoABPSCase1.java;Rule 1;critical;Cipher.getInstance -> hard coded string;13;AES/ECB/PKCS5Padding;Types.StringLiteral;13
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/pbeiteration/LessThan1000IterationPBEBBCase1.java;JRule 5;critical;LessThan1000IterationPBEBBCase1.key2.PBEParameterSpec;17;20;Types.NumberLiteral;16
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/pbeiteration/LessThan1000IterationPBEABPSCase1.java;JRule 5;critical;LessThan1000IterationPBEABPSCase1.main.PBEParameterSpec;19;5;Types.NumberLiteral;12
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/pbeiteration/LessThan1000IterationPBEABICase3.java;JRule 5;critical;LessThan1000IterationPBEABICase3.method1.PBEParameterSpec;23;20;Types.NumberLiteral;11
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/pbeiteration/LessThan1000IterationPBEABMC1.java;JRule 5;warning;LessThan1000IterationPBEABMC1.go.PBEParameterSpec;13;UNKNOWN;Types.Unknown;7
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/pbeiteration/LessThan1000IterationPBEABSCase1.java;JRule 5;critical;CryptoPBEIteration1.method1.PBEParameterSpec;37;0;Types.NumberLiteral;16
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/pbeiteration/LessThan1000IterationPBEABICase1.java;JRule 5;critical;LessThan1000IterationPBEABICase1.go.PBEParameterSpec;19;20;Types.NumberLiteral;10
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticinitializationvector/StaticInitializationVectorBBCase1.java;Rule 2;critical;StaticInitializationVectorBBCase1.go.IvParameterSpec;18;abcde;Types.StringLiteral;17
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticinitializationvector/StaticInitializationVectorABPSCase1.java;Rule 2;critical;StaticInitializationVectorABPSCase1.go.IvParameterSpec;24;abcde;Types.StringLiteral;17
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticinitializationvector/StaticInitializationVectorABMC1.java;Rule 2;warning;StaticInitializationVectorABMC1.go.IvParameterSpec;14;UNKNOWN;Types.Unknown;13
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticinitializationvector/StaticInitializationVectorABICase3.java;Rule 2;critical;StaticInitializationVectorABICase3.method2.IvParameterSpec;12;abcde;Types.StringLiteral;25
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticinitializationvector/StaticInitializationVectorABICase1.java;Rule 2;critical;StaticInitializationVectorABICase1.go.IvParameterSpec;12;abcde;Types.StringLiteral;22
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/staticinitializationvector/StaticInitializationVectorABHCase1.java;Rule 2;critical;StaticInitializationVectorABHCase1.go.IvParameterSpec;21;abcde;Types.StringLiteral;19
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABICase11.java;Rule 1;critical;BrokenCryptoABICase11.method1.Cipher.getInstance;18;DES/ECB/PKCS5Padding;Types.StringLiteral;24
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABMC1.java;Rule 1;warning;BrokenCryptoABMC1.go.Cipher.getInstance;14;UNKNOWN;Types.Unknown;11
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABPSCase1.java;Rule 1;critical;Cipher.getInstance -> hard coded string;14;DES/ECB/PKCS5Padding;Types.StringLiteral;14
/home/ubuntu/crypto-tool-evaluation/CryptoAPI-Bench/src/main/java/org/cryptoapi/bench/brokencrypto/BrokenCryptoABMC3.java;Rule 1;warning;BrokenCryptoABMC3.go.Cipher.getInstance;14;UNKNOWN;Types.Unknown;11
