#allow_merge_commit;allow_rebase_merge;allow_squash_merge;archive_url;archived;assignees_url;blobs_url;branches_url;CHECK_AFTER_INIT_FLAG;clone_url;collaborators_url;comments_url;commits_url;compare_url;contents_url;contributors_url;created_at;default_branch;delete_branch_on_merge;description;downloads_url;etag;events_url;fork;forks;forks_count;forks_url;full_name;git_commits_url;git_refs_url;git_tags_url;git_url;has_downloads;has_issues;has_projects;has_wiki;homepage;hooks_url;html_url;id;issue_comment_url;issue_events_url;issues_url;keys_url;labels_url;language;languages_url;last_modified;master_branch;merges_url;milestones_url;mirror_url;name;network_count;notifications_url;open_issues;open_issues_count;organization;owner;parent;permissions;private;pulls_url;pushed_at;raw_data;raw_headers;size;source;ssh_url;stargazers_count;stargazers_url;statuses_url;subscribers_count;subscribers_url;subscription_url;svn_url;tags_url;teams_url;topics;trees_url;updated_at;url;watchers;watchers_count
;;;;;;;;;;;;;;;;;;;;;;;;;;;micropython/micropython;;;;;;;;;;x;https://github.com/micropython/micropython;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;micropython/micropython-lib;;;;;;;;;;x;https://github.com/micropython/micropython-lib;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;mu-editor/mu;;;;;;;;;;x;https://github.com/mu-editor/mu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;sipeed/MaixPy;;;;;;;;;;x;https://github.com/sipeed/MaixPy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;loboris/MicroPython_ESP32_psRAM_LoBo;;;;;;;;;;x;https://github.com/loboris/MicroPython_ESP32_psRAM_LoBo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;pfalcon/picotui;;;;;;;;;;x;https://github.com/pfalcon/picotui;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;micropython/pyboard;;;;;;;;;;x;https://github.com/micropython/pyboard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;jczic/MicroWebSrv;;;;;;;;;;x;https://github.com/jczic/MicroWebSrv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;trezor/trezor-core;;;;;;;;;;x;https://github.com/trezor/trezor-core;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;pfalcon/picoweb;;;;;;;;;;x;https://github.com/pfalcon/picoweb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;adafruit/awesome-circuitpython;;;;;;;;;;x;https://github.com/adafruit/awesome-circuitpython;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;gbafana25/esp8266_honeypot;;;;;;;;;;x;https://github.com/gbafana25/esp8266_honeypot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;peterhinch/micropython-async;;;;;;;;;;x;https://github.com/peterhinch/micropython-async;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;Wei1234c/Broccoli;;;;;;;;;;x;https://github.com/Wei1234c/Broccoli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;pfalcon/pycopy;;;;;;;;;;x;https://github.com/pfalcon/pycopy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;vlasovskikh/intellij-micropython;;;;;;;;;;x;https://github.com/vlasovskikh/intellij-micropython;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;trezor/trezor-firmware;;;;;;;;;;x;https://github.com/trezor/trezor-firmware;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;sqfmi/badgy;;;;;;;;;;x;https://github.com/sqfmi/badgy;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;insane-adding-machines/frosted;;;;;;;;;;x;https://github.com/insane-adding-machines/frosted;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;inmcm/micropyGPS;;;;;;;;;;x;https://github.com/inmcm/micropyGPS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
