File;Rule;Hit-Type;Misuse;Misuse-Line;Parameter-Value;Parameter-Type;Parameter-Line
/media/ubuntu/DATA/repositories-python/localstack__localstack/requirements_licma_analysis/pycryptodomex-3.4.9-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;361;UNKNOWN;Types.Unknown;304
/media/ubuntu/DATA/repositories-python/localstack__localstack/requirements_licma_analysis/pycryptodomex-3.4.9-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;361;1;Types.NumberLiteral;361
/media/ubuntu/DATA/repositories-python/localstack__localstack/requirements_licma_analysis/pycryptodomex-3.4.9-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;382;1;Types.NumberLiteral;382
/media/ubuntu/DATA/repositories-python/nicolargo__glances/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/nicolargo__glances/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/nicolargo__glances/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/nicolargo__glances/requirements_licma_analysis/pycryptodomex-3.9.8-cp36-cp36m-manylinux1_x86_64/Cryptodome/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
/media/ubuntu/DATA/repositories-python/nicolargo__glances/requirements_licma_analysis/pbkdf2-1.3/pbkdf2-1.3/pbkdf2.py;PyQuery: Rule 4 | PyCrypto;warning;pbkdf2.crypt.PBKDF2;281;UNKNOWN;Types.Unknown;230
/media/ubuntu/DATA/repositories-python/Kr1s77__awesome-python-login-model/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;warning;KDF.scrypt.PBKDF2;385;UNKNOWN;Types.Unknown;337
/media/ubuntu/DATA/repositories-python/Kr1s77__awesome-python-login-model/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 4 | PyCrypto;critical;PBKDF2 -> hard coded bytes;405;;Types.StringLiteral;405
/media/ubuntu/DATA/repositories-python/Kr1s77__awesome-python-login-model/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;385;1;Types.NumberLiteral;385
/media/ubuntu/DATA/repositories-python/Kr1s77__awesome-python-login-model/requirements_licma_analysis/pycryptodome-3.9.8-cp36-cp36m-manylinux1_x86_64/Crypto/Protocol/KDF.py;PyQuery: Rule 5 | PyCrypto;critical;PBKDF2 -> hard coded int;406;1;Types.NumberLiteral;406
